id,produce_type,name,method,drying_temperature_C,typical_drying_time_min
123,Vegetable,Broccoli,Sun,41.0,1147
124,Fruit,Custard Apple,Sun,35.2,636
125,Vegetable,Cucumber,Vacuum,33.9,251
126,Fruit,Dragon Fruit,Microwave,68.5,52
127,Fruit,Pomegranate,Freeze-Drying,-11.7,1477
128,Fruit,Grapes,Sun,31.1,755
129,Fruit,Pomegranate,Solar,58.5,1157
130,Fruit,Pear,Vacuum,46.8,469
131,Vegetable,Cabbage,Vacuum,51.2,762
132,Vegetable,Tomato,Vacuum,54.2,347
133,Fruit,Lychee,Freeze-Drying,2.0,1529
134,Fruit,Strawberry,Freeze-Drying,15.9,1728
135,Vegetable,Mushroom,Hot-Air,80.4,358
136,Vegetable,Chili Pepper,Hot-Air,81.7,510
137,Fruit,Watermelon,Freeze-Drying,15.0,1293
138,Vegetable,Carrot,Hot-Air,42.6,169
139,Vegetable,Mushroom,Microwave,69.9,23
140,Fruit,Lychee,Sun,35.8,992
141,Fruit,Orange,Freeze-Drying,9.9,1599
142,Fruit,Jackfruit,Solar,61.4,1017
143,Vegetable,Green Peas,Vacuum,55.3,626
144,Fruit,Jackfruit,Freeze-Drying,27.9,1291
145,Fruit,Papaya,Solar,38.1,534
146,Fruit,Custard Apple,Solar,46.1,521
147,Vegetable,Cucumber,Solar,55.6,888
148,Fruit,Papaya,Vacuum,65.2,720
149,Fruit,Papaya,Microwave,65.0,10
150,Vegetable,Okra,Hot-Air,89.4,378
151,Fruit,Strawberry,Sun,40.7,1469
152,Fruit,Plum,Hot-Air,42.4,339
153,Fruit,Custard Apple,Sun,54.5,1054
154,Vegetable,Onion,Sun,47.8,961
155,Vegetable,Cauliflower,Freeze-Drying,-1.6,1979
156,Fruit,Kiwi,Freeze-Drying,13.8,1805
157,Fruit,Sapota,Solar,36.0,609
158,Fruit,Guava,Freeze-Drying,18.6,1477
159,Fruit,Mango,Hot-Air,87.3,595
160,Vegetable,Mushroom,Vacuum,42.4,273
161,Vegetable,Carrot,Sun,44.0,1129
162,Vegetable,Drumstick,Vacuum,46.8,711
163,Vegetable,Broccoli,Solar,45.5,816
164,Fruit,Dragon Fruit,Microwave,53.5,19
165,Vegetable,Pumpkin,Sun,34.9,691
166,Fruit,Pear,Solar,40.7,546
167,Vegetable,Cucumber,Freeze-Drying,24.5,1494
168,Fruit,Custard Apple,Sun,40.4,696
169,Fruit,Orange,Microwave,61.3,52
170,Vegetable,Potato,Hot-Air,70.3,181
171,Vegetable,Pumpkin,Vacuum,42.9,409
172,Fruit,Peach,Freeze-Drying,-19.9,1254
173,Fruit,Pear,Solar,51.0,515
174,Fruit,Pineapple,Solar,44.9,1197
175,Vegetable,Cauliflower,Hot-Air,85.5,203
176,Vegetable,Drumstick,Hot-Air,63.8,348
177,Vegetable,Okra,Microwave,71.6,47
178,Vegetable,Pumpkin,Microwave,79.5,88
179,Fruit,Plum,Vacuum,52.6,743
180,Vegetable,Carrot,Solar,55.9,1001
181,Vegetable,Garlic,Hot-Air,70.4,517
182,Vegetable,Coriander Leaves,Solar,62.2,907
183,Fruit,Apple,Vacuum,45.4,264
184,Vegetable,Bell Pepper,Freeze-Drying,25.6,944
185,Vegetable,Ginger,Solar,39.2,791
186,Vegetable,Cabbage,Microwave,58.0,39
187,Fruit,Guava,Hot-Air,49.6,424
188,Vegetable,Eggplant,Solar,53.3,506
189,Vegetable,Green Peas,Vacuum,56.6,365
190,Vegetable,Onion,Solar,36.2,700
191,Vegetable,Bitter Gourd,Microwave,55.2,81
192,Fruit,Lychee,Freeze-Drying,-23.4,808
193,Vegetable,Spinach,Solar,55.2,654
194,Vegetable,Spinach,Vacuum,44.8,609
195,Fruit,Lychee,Microwave,59.3,65
196,Fruit,Papaya,Vacuum,35.7,434
197,Vegetable,Radish,Microwave,65.2,85
198,Fruit,Guava,Solar,50.9,717
199,Vegetable,Chili Pepper,Sun,32.4,1243
200,Vegetable,Tomato,Microwave,71.6,90
201,Fruit,Plum,Solar,51.6,717
202,Fruit,Apricot,Freeze-Drying,29.7,759
203,Fruit,Blueberry,Vacuum,41.9,441
204,Fruit,Lychee,Solar,64.5,489
205,Fruit,Apple,Microwave,65.4,72
206,Vegetable,Bitter Gourd,Hot-Air,65.2,343
207,Fruit,Grapes,Microwave,69.1,28
208,Vegetable,Spinach,Microwave,74.4,69
209,Fruit,Grapes,Freeze-Drying,-5.3,1318
210,Vegetable,Onion,Solar,64.2,1199
211,Vegetable,Ginger,Vacuum,33.7,209
212,Fruit,Pear,Hot-Air,81.7,349
213,Vegetable,Cabbage,Solar,40.4,1171
214,Vegetable,Chili Pepper,Microwave,72.7,80
215,Vegetable,Beetroot,Hot-Air,58.9,252
216,Fruit,Pear,Microwave,66.0,65
217,Fruit,Mango,Freeze-Drying,24.5,1572
218,Vegetable,Garlic,Solar,39.6,1093
219,Vegetable,Bell Pepper,Vacuum,42.8,203
220,Fruit,Peach,Microwave,79.5,16
221,Vegetable,Okra,Solar,59.1,666
222,Vegetable,Radish,Freeze-Drying,23.9,1095
223,Fruit,Papaya,Freeze-Drying,-20.6,1421
224,Fruit,Banana,Microwave,66.9,43
225,Fruit,Custard Apple,Freeze-Drying,-17.2,876
226,Vegetable,Chili Pepper,Microwave,80.0,48
227,Fruit,Pear,Solar,63.9,764
228,Fruit,Fig,Vacuum,59.7,241
229,Vegetable,Spinach,Microwave,73.1,39
230,Vegetable,Drumstick,Sun,52.7,1236
231,Fruit,Pear,Solar,63.4,707
232,Vegetable,Potato,Sun,42.8,1116
233,Vegetable,Cucumber,Microwave,58.7,34
234,Vegetable,Pumpkin,Freeze-Drying,5.4,1657
235,Fruit,Guava,Sun,46.6,1129
236,Fruit,Pomegranate,Hot-Air,54.0,360
237,Vegetable,Mint Leaves,Microwave,59.6,41
238,Vegetable,Mushroom,Freeze-Drying,-23.7,1347
239,Vegetable,Bitter Gourd,Sun,47.8,621
240,Vegetable,Ginger,Sun,46.2,1000
241,Fruit,Jackfruit,Freeze-Drying,-16.3,817
242,Vegetable,Broccoli,Hot-Air,72.1,245
243,Vegetable,Cucumber,Hot-Air,50.1,289
244,Vegetable,Drumstick,Vacuum,58.1,460
245,Fruit,Kiwi,Hot-Air,65.5,307
246,Vegetable,Drumstick,Vacuum,32.6,336
247,Vegetable,Beetroot,Freeze-Drying,-36.5,1338
248,Vegetable,Drumstick,Freeze-Drying,-25.2,1272
249,Vegetable,Cucumber,Solar,40.1,1109
250,Vegetable,Cauliflower,Microwave,54.1,84
251,Fruit,Plum,Freeze-Drying,-26.7,611
252,Vegetable,Cucumber,Vacuum,68.6,432
253,Fruit,Sapota,Solar,42.4,990
254,Vegetable,Broccoli,Freeze-Drying,-12.6,1751
255,Fruit,Apple,Vacuum,69.0,589
256,Fruit,Custard Apple,Solar,60.2,913
257,Vegetable,Cauliflower,Hot-Air,66.8,418
258,Fruit,Banana,Solar,57.8,1134
259,Vegetable,Bitter Gourd,Freeze-Drying,-32.3,1619
260,Vegetable,Bell Pepper,Sun,40.0,767
261,Fruit,Grapes,Solar,45.1,674
262,Fruit,Strawberry,Solar,57.5,932
263,Vegetable,Potato,Vacuum,38.7,537
264,Fruit,Custard Apple,Solar,57.1,989
265,Fruit,Watermelon,Freeze-Drying,3.5,835
266,Vegetable,Bitter Gourd,Sun,46.5,959
267,Fruit,Sapota,Sun,33.6,1061
268,Fruit,Strawberry,Vacuum,35.6,428
269,Vegetable,Potato,Hot-Air,78.3,276
270,Vegetable,Cauliflower,Sun,47.0,981
271,Fruit,Grapes,Solar,50.4,799
272,Vegetable,Potato,Freeze-Drying,11.7,1172
273,Vegetable,Radish,Freeze-Drying,-3.6,1657
274,Vegetable,Mushroom,Hot-Air,85.7,560
275,Fruit,Lemon,Microwave,64.6,19
276,Fruit,Banana,Sun,32.5,1084
277,Vegetable,Coriander Leaves,Freeze-Drying,-2.9,621
278,Fruit,Dragon Fruit,Freeze-Drying,-25.7,1310
279,Fruit,Pineapple,Solar,63.6,1060
280,Vegetable,Ginger,Freeze-Drying,8.7,1131
281,Vegetable,Bitter Gourd,Sun,51.6,881
282,Fruit,Apple,Hot-Air,60.5,493
283,Fruit,Fig,Hot-Air,46.1,357
284,Fruit,Lychee,Vacuum,66.9,516
285,Fruit,Lemon,Hot-Air,84.2,443
286,Fruit,Watermelon,Hot-Air,48.5,518
287,Vegetable,Cucumber,Microwave,59.4,21
288,Vegetable,Cauliflower,Microwave,61.9,59
289,Vegetable,Mint Leaves,Vacuum,58.2,487
290,Fruit,Lemon,Vacuum,52.0,219
291,Fruit,Grapes,Microwave,70.5,27
292,Vegetable,Beetroot,Solar,64.0,952
293,Fruit,Grapes,Hot-Air,47.0,246
294,Vegetable,Garlic,Vacuum,67.3,545
295,Vegetable,Radish,Microwave,58.9,41
296,Fruit,Watermelon,Freeze-Drying,-36.2,1674
297,Vegetable,Beetroot,Freeze-Drying,-37.6,1057
298,Vegetable,Radish,Vacuum,38.6,272
299,Vegetable,Radish,Solar,50.4,1180
300,Vegetable,Green Peas,Solar,43.5,893
301,Vegetable,Cauliflower,Microwave,78.5,67
302,Fruit,Mango,Hot-Air,65.2,123
303,Fruit,Strawberry,Microwave,63.1,47
304,Vegetable,Carrot,Freeze-Drying,22.6,1505
305,Vegetable,Carrot,Hot-Air,54.7,192
306,Fruit,Apricot,Freeze-Drying,6.7,1776
307,Vegetable,Bitter Gourd,Solar,35.7,1045
308,Vegetable,Spinach,Solar,63.9,1046
309,Fruit,Lemon,Vacuum,30.3,292
310,Vegetable,Drumstick,Freeze-Drying,17.4,1678
311,Fruit,Papaya,Freeze-Drying,-10.5,1596
312,Vegetable,Bell Pepper,Vacuum,40.3,592
313,Fruit,Peach,Freeze-Drying,-4.7,638
314,Fruit,Papaya,Solar,62.1,662
315,Vegetable,Pumpkin,Solar,44.4,988
316,Fruit,Lemon,Microwave,71.6,28
317,Fruit,Jackfruit,Solar,59.1,963
318,Fruit,Apple,Solar,46.1,503
319,Vegetable,Drumstick,Freeze-Drying,-11.4,1823
320,Fruit,Kiwi,Microwave,56.7,58
321,Vegetable,Mint Leaves,Vacuum,45.1,306
322,Fruit,Guava,Sun,35.5,1397
323,Fruit,Jackfruit,Vacuum,67.0,406
324,Vegetable,Beetroot,Hot-Air,77.7,502
325,Fruit,Watermelon,Sun,30.1,1172
326,Vegetable,Radish,Sun,30.4,1282
327,Vegetable,Cucumber,Vacuum,64.1,782
328,Vegetable,Bitter Gourd,Microwave,61.6,33
329,Fruit,Apricot,Freeze-Drying,-33.9,1023
330,Fruit,Banana,Freeze-Drying,19.6,610
331,Fruit,Papaya,Vacuum,56.1,303
332,Vegetable,Radish,Hot-Air,69.5,256
333,Fruit,Cherry,Vacuum,36.7,688
334,Fruit,Lemon,Sun,37.5,890
335,Vegetable,Cucumber,Sun,43.5,966
336,Fruit,Blueberry,Sun,43.5,644
337,Fruit,Orange,Freeze-Drying,2.8,1661
338,Vegetable,Eggplant,Hot-Air,84.2,399
339,Vegetable,Garlic,Solar,51.7,700
340,Fruit,Fig,Microwave,57.4,31
341,Fruit,Apricot,Vacuum,50.0,546
342,Vegetable,Bell Pepper,Sun,34.9,737
343,Fruit,Pear,Freeze-Drying,-15.1,1262
344,Fruit,Pear,Vacuum,68.8,247
345,Vegetable,Radish,Freeze-Drying,23.3,965
346,Fruit,Peach,Hot-Air,49.5,479
347,Vegetable,Radish,Freeze-Drying,6.3,1567
348,Vegetable,Mint Leaves,Vacuum,65.2,430
349,Fruit,Peach,Freeze-Drying,-5.5,1856
350,Vegetable,Chili Pepper,Microwave,71.0,73
351,Vegetable,Carrot,Vacuum,54.6,303
352,Fruit,Lemon,Solar,51.0,778
353,Fruit,Kiwi,Sun,36.9,720
354,Vegetable,Drumstick,Hot-Air,47.2,464
355,Fruit,Custard Apple,Sun,45.8,1280
356,Fruit,Pear,Sun,40.9,1282
357,Fruit,Banana,Freeze-Drying,-9.2,956
358,Fruit,Strawberry,Sun,54.8,1135
359,Vegetable,Carrot,Freeze-Drying,8.2,1720
360,Fruit,Jackfruit,Sun,36.1,637
361,Fruit,Strawberry,Microwave,74.3,54
362,Vegetable,Carrot,Solar,47.9,722
363,Fruit,Grapes,Hot-Air,70.6,153
364,Fruit,Lemon,Sun,30.4,1348
365,Fruit,Pear,Solar,55.3,929
366,Fruit,Apricot,Microwave,51.6,39
367,Vegetable,Cabbage,Sun,51.5,1387
368,Fruit,Guava,Solar,50.5,564
369,Fruit,Lychee,Sun,40.0,1398
370,Fruit,Fig,Microwave,59.3,21
371,Vegetable,Drumstick,Freeze-Drying,27.3,827
372,Fruit,Apricot,Hot-Air,65.1,314
373,Vegetable,Spinach,Hot-Air,45.1,151
374,Fruit,Plum,Freeze-Drying,-34.2,1662
375,Vegetable,Mushroom,Hot-Air,76.0,537
376,Fruit,Apple,Vacuum,43.7,231
377,Vegetable,Beetroot,Freeze-Drying,10.5,1522
378,Fruit,Cherry,Hot-Air,85.8,380
379,Vegetable,Cauliflower,Vacuum,48.8,586
380,Vegetable,Green Peas,Solar,41.1,557
381,Fruit,Custard Apple,Vacuum,43.7,637
382,Fruit,Kiwi,Solar,48.4,820
383,Vegetable,Bitter Gourd,Sun,37.7,1007
384,Fruit,Peach,Solar,61.8,1130
385,Fruit,Sapota,Sun,48.7,755
386,Fruit,Apple,Hot-Air,88.5,289
387,Fruit,Guava,Vacuum,54.6,705
388,Vegetable,Broccoli,Vacuum,33.4,465
389,Vegetable,Pumpkin,Hot-Air,68.9,581
390,Fruit,Banana,Sun,33.1,1235
391,Vegetable,Carrot,Solar,38.9,1146
392,Fruit,Lychee,Sun,52.7,927
393,Vegetable,Eggplant,Sun,30.3,1300
394,Fruit,Papaya,Hot-Air,73.2,406
395,Vegetable,Mushroom,Hot-Air,68.9,335
396,Fruit,Blueberry,Vacuum,32.8,633
397,Vegetable,Broccoli,Freeze-Drying,16.1,1462
398,Vegetable,Green Peas,Microwave,54.0,27
399,Vegetable,Green Peas,Hot-Air,49.5,547
400,Vegetable,Coriander Leaves,Hot-Air,80.8,404
401,Fruit,Pomegranate,Vacuum,66.6,460
402,Fruit,Jackfruit,Freeze-Drying,-2.9,707
403,Fruit,Pear,Freeze-Drying,-38.8,1534
404,Vegetable,Cucumber,Sun,31.7,728
405,Vegetable,Bell Pepper,Microwave,54.8,39
406,Fruit,Orange,Sun,30.4,1129
407,Fruit,Papaya,Freeze-Drying,-32.2,1998
408,Fruit,Lychee,Solar,49.9,516
409,Fruit,Kiwi,Freeze-Drying,-14.1,1093
410,Fruit,Apple,Freeze-Drying,-0.6,1381
411,Fruit,Pear,Hot-Air,70.6,150
412,Fruit,Pomegranate,Vacuum,66.4,776
413,Fruit,Sapota,Microwave,58.0,71
414,Fruit,Lemon,Hot-Air,74.3,494
415,Vegetable,Mushroom,Solar,48.6,1044
416,Vegetable,Spinach,Sun,40.2,621
417,Fruit,Fig,Sun,41.9,1266
418,Vegetable,Coriander Leaves,Solar,47.6,882
419,Fruit,Sapota,Hot-Air,75.4,536
420,Fruit,Lemon,Hot-Air,79.3,310
421,Fruit,Cherry,Vacuum,65.7,758
422,Vegetable,Okra,Freeze-Drying,-13.3,1003
423,Fruit,Papaya,Vacuum,54.9,389
424,Fruit,Peach,Sun,49.5,1413
425,Vegetable,Okra,Sun,37.5,1392
426,Fruit,Blueberry,Vacuum,69.0,362
427,Fruit,Blueberry,Hot-Air,40.2,252
428,Fruit,Lemon,Hot-Air,47.2,329
429,Fruit,Banana,Freeze-Drying,22.7,1452
430,Fruit,Orange,Vacuum,68.6,479
431,Vegetable,Spinach,Vacuum,38.1,459
432,Vegetable,Bell Pepper,Hot-Air,79.0,567
433,Vegetable,Garlic,Hot-Air,64.5,176
434,Fruit,Lychee,Solar,54.3,725
435,Vegetable,Cucumber,Hot-Air,69.8,342
436,Vegetable,Chili Pepper,Solar,42.9,660
437,Vegetable,Coriander Leaves,Hot-Air,53.7,476
438,Fruit,Cherry,Solar,44.5,616
439,Vegetable,Onion,Hot-Air,47.2,148
440,Fruit,Apple,Microwave,52.9,41
441,Fruit,Plum,Sun,31.8,1470
442,Fruit,Pear,Microwave,52.1,35
443,Vegetable,Bitter Gourd,Microwave,76.5,73
444,Fruit,Apricot,Freeze-Drying,-14.6,1579
445,Vegetable,Pumpkin,Microwave,58.7,26
446,Fruit,Pomegranate,Vacuum,48.7,707
447,Vegetable,Tomato,Microwave,65.9,75
448,Vegetable,Ginger,Sun,38.3,672
449,Fruit,Blueberry,Sun,31.3,1291
450,Fruit,Cherry,Solar,41.1,582
451,Vegetable,Coriander Leaves,Sun,47.7,1370
452,Vegetable,Bitter Gourd,Freeze-Drying,-34.0,1256
453,Fruit,Grapes,Hot-Air,62.0,208
454,Vegetable,Cauliflower,Freeze-Drying,-37.6,1292
455,Fruit,Dragon Fruit,Sun,36.7,1486
456,Vegetable,Green Peas,Sun,37.3,1455
457,Vegetable,Broccoli,Freeze-Drying,2.2,1410
458,Vegetable,Beetroot,Solar,58.7,782
459,Vegetable,Cauliflower,Vacuum,39.1,276
460,Vegetable,Carrot,Microwave,61.3,64
461,Fruit,Pineapple,Microwave,58.6,61
462,Fruit,Watermelon,Solar,58.1,669
463,Vegetable,Okra,Microwave,72.9,52
464,Vegetable,Mushroom,Freeze-Drying,21.4,1157
465,Fruit,Plum,Vacuum,66.6,451
466,Vegetable,Pumpkin,Sun,33.5,854
467,Vegetable,Green Peas,Vacuum,39.1,548
468,Vegetable,Okra,Solar,62.0,939
469,Fruit,Peach,Microwave,74.2,23
470,Vegetable,Onion,Freeze-Drying,0.1,1063
471,Fruit,Strawberry,Sun,44.5,784
472,Fruit,Strawberry,Freeze-Drying,-10.5,1584
473,Vegetable,Mint Leaves,Vacuum,48.0,535
474,Fruit,Sapota,Freeze-Drying,-22.0,701
475,Fruit,Pear,Solar,44.7,480
476,Vegetable,Cucumber,Hot-Air,58.7,374
477,Vegetable,Okra,Vacuum,57.8,345
478,Vegetable,Onion,Microwave,64.5,77
479,Fruit,Peach,Solar,54.4,1056
480,Fruit,Pomegranate,Freeze-Drying,-6.8,628
481,Fruit,Mango,Freeze-Drying,4.3,1790
482,Vegetable,Mushroom,Sun,33.9,677
483,Fruit,Pineapple,Vacuum,57.8,760
484,Fruit,Apricot,Freeze-Drying,14.6,1454
485,Fruit,Sapota,Solar,63.4,731
486,Vegetable,Onion,Sun,38.0,669
487,Vegetable,Drumstick,Hot-Air,70.4,495
488,Vegetable,Potato,Freeze-Drying,-27.7,1960
489,Vegetable,Cabbage,Microwave,58.1,33
490,Fruit,Pear,Sun,38.0,1151
491,Vegetable,Tomato,Freeze-Drying,14.8,1360
492,Fruit,Apricot,Solar,60.9,776
493,Vegetable,Pumpkin,Hot-Air,50.6,190
494,Fruit,Custard Apple,Vacuum,50.7,592
495,Fruit,Lemon,Sun,48.1,1388
496,Vegetable,Bell Pepper,Sun,40.7,1278
497,Vegetable,Tomato,Solar,55.4,879
498,Fruit,Lemon,Solar,37.8,767
499,Vegetable,Cabbage,Vacuum,40.1,533
500,Fruit,Sapota,Solar,58.7,745
501,Vegetable,Tomato,Freeze-Drying,-7.5,1019
502,Vegetable,Onion,Sun,53.7,1397
503,Vegetable,Green Peas,Microwave,55.8,81
504,Vegetable,Spinach,Solar,49.7,641
505,Vegetable,Cucumber,Freeze-Drying,-30.9,1062
506,Vegetable,Green Peas,Solar,42.4,557
507,Fruit,Orange,Freeze-Drying,-19.7,671
508,Vegetable,Drumstick,Freeze-Drying,28.9,831
509,Fruit,Mango,Solar,43.0,652
510,Fruit,Fig,Microwave,64.4,79
511,Fruit,Mango,Microwave,70.9,84
512,Vegetable,Carrot,Hot-Air,79.6,382
513,Fruit,Orange,Freeze-Drying,20.2,615
514,Fruit,Apricot,Solar,61.6,730
515,Fruit,Grapes,Vacuum,36.0,620
516,Fruit,Cherry,Hot-Air,43.9,413
517,Vegetable,Onion,Solar,61.8,807
518,Fruit,Papaya,Solar,52.7,603
519,Fruit,Sapota,Hot-Air,86.6,498
520,Vegetable,Coriander Leaves,Sun,32.2,733
521,Fruit,Lemon,Microwave,64.4,18
522,Fruit,Mango,Microwave,51.8,38
523,Vegetable,Pumpkin,Sun,44.0,1338
524,Vegetable,Cauliflower,Vacuum,36.8,684
525,Vegetable,Bell Pepper,Vacuum,54.5,618
526,Vegetable,Cauliflower,Hot-Air,89.8,241
527,Vegetable,Eggplant,Vacuum,52.9,340
528,Vegetable,Onion,Solar,41.4,563
529,Vegetable,Bitter Gourd,Freeze-Drying,25.6,1629
530,Vegetable,Broccoli,Vacuum,49.7,751
531,Vegetable,Bell Pepper,Sun,31.2,677
532,Vegetable,Mushroom,Freeze-Drying,-5.2,925
533,Fruit,Dragon Fruit,Solar,46.5,1038
534,Vegetable,Mint Leaves,Solar,63.3,894
535,Fruit,Pear,Hot-Air,77.0,566
536,Vegetable,Coriander Leaves,Vacuum,50.2,757
537,Fruit,Plum,Hot-Air,80.3,195
538,Vegetable,Carrot,Freeze-Drying,-25.2,1906
539,Vegetable,Green Peas,Freeze-Drying,-1.7,609
540,Fruit,Banana,Vacuum,60.8,250
541,Fruit,Grapes,Freeze-Drying,-13.3,1352
542,Vegetable,Ginger,Solar,50.6,629
543,Vegetable,Mushroom,Sun,37.1,1081
544,Fruit,Watermelon,Hot-Air,61.9,464
545,Vegetable,Drumstick,Microwave,56.4,28
546,Vegetable,Garlic,Vacuum,62.4,477
547,Vegetable,Coriander Leaves,Freeze-Drying,21.3,1169
548,Vegetable,Garlic,Hot-Air,84.5,326
549,Fruit,Pineapple,Microwave,62.7,75
